FET Vds-Id
VG= -40 to 9.95 in 0.15 step
VDS= -20 to 0 in 5 step
NO. VG ID
 V A
444 -23.65 -4.5841E-06
445 -23.5 -4.4785E-06
446 -23.35 -4.3822E-06
447 -23.2 -4.4166E-06
448 -23.05 -4.389E-06
449 -22.9 -4.2547E-06
450 -22.75 -4.2091E-06
451 -22.6 -4.2567E-06
452 -22.45 -4.1742E-06
453 -22.3 -4.0546E-06
454 -22.15 -4.0645E-06
455 -22 -4.0796E-06
456 -21.85 -3.9664E-06
457 -21.7 -3.8902E-06
458 -21.55 -3.9283E-06
459 -21.4 -3.9011E-06
460 -21.25 -3.7656E-06
461 -21.1 -3.7382E-06
462 -20.95 -3.7849E-06
463 -20.8 -3.691E-06
464 -20.65 -3.5874E-06
465 -20.5 -3.6014E-06
466 -20.35 -3.6157E-06
467 -20.2 -3.4942E-06
468 -20.05 -3.4323E-06
469 -19.9 -3.4803E-06
470 -19.75 -3.4446E-06
471 -19.6 -3.3109E-06
472 -19.45 -3.3052E-06
473 -19.3 -3.3451E-06
474 -19.15 -3.2519E-06
475 -19 -3.1546E-06
476 -18.85 -3.1834E-06
477 -18.7 -3.1821E-06
478 -18.55 -3.0643E-06
479 -18.4 -3.0133E-06
480 -18.25 -3.0677E-06
481 -18.1 -3.0203E-06
482 -17.95 -2.8952E-06
483 -17.8 -2.9088E-06
484 -17.65 -2.9386E-06
485 -17.5 -2.85E-06
486 -17.35 -2.7579E-06
487 -17.2 -2.8045E-06
488 -17.05 -2.7945E-06
489 -16.9 -2.6754E-06
490 -16.75 -2.6341E-06
491 -16.6 -2.6966E-06
492 -16.45 -2.6359E-06
493 -16.3 -2.5223E-06
494 -16.15 -2.5449E-06
495 -16 -2.5731E-06
496 -15.85 -2.4797E-06
497 -15.7 -2.4082E-06
498 -15.55 -2.4588E-06
499 -15.4 -2.4448E-06
500 -15.25 -2.3242E-06
501 -15.1 -2.3014E-06
502 -14.95 -2.363E-06
503 -14.8 -2.2883E-06
504 -14.65 -2.1912E-06
505 -14.5 -2.2159E-06
506 -14.35 -2.2461E-06
507 -14.2 -2.1416E-06
508 -14.05 -2.0859E-06
509 -13.9 -2.1425E-06
510 -13.75 -2.1257E-06
511 -13.6 -2.004E-06
512 -13.45 -1.9994E-06
513 -13.3 -2.058E-06
514 -13.15 -1.9759E-06
515 -13 -1.8893E-06
516 -12.85 -1.9224E-06
517 -12.7 -1.9416E-06
518 -12.55 -1.8351E-06
519 -12.4 -1.7919E-06
520 -12.25 -1.856E-06
521 -12.1 -1.8269E-06
522 -11.95 -1.7099E-06
523 -11.8 -1.7249E-06
524 -11.65 -1.7727E-06
525 -11.5 -1.6951E-06
526 -11.35 -1.6113E-06
527 -11.2 -1.6602E-06
528 -11.05 -1.667E-06
529 -10.9 -1.5605E-06
530 -10.75 -1.5254E-06
531 -10.6 -1.5952E-06
532 -10.45 -1.5544E-06
533 -10.3 -1.4448E-06
534 -10.15 -1.4758E-06
535 -10 -1.5151E-06
536 -9.85 -1.4371E-06
537 -9.7 -1.3637E-06
538 -9.55 -1.4242E-06
539 -9.4 -1.423E-06
540 -9.25 -1.3142E-06
541 -9.1 -1.293E-06
542 -8.95 -1.3664E-06
543 -8.8 -1.3108E-06
544 -8.65 -1.2144E-06
545 -8.5 -1.2486E-06
546 -8.35 -1.289E-06
547 -8.2 -1.2012E-06
548 -8.05 -1.1477E-06
549 -7.9 -1.2102E-06
550 -7.75 -1.2058E-06
551 -7.6 -1.0953E-06
552 -7.45 -1.0904E-06
553 -7.3 -1.1602E-06
554 -7.15 -1.092E-06
555 -7 -1.0105E-06
556 -6.85 -1.0476E-06
557 -6.7 -1.0849E-06
558 -6.55 -9.876E-07
559 -6.4 -1.03384E-06
560 -6.25 -1.0345E-06
561 -6.1 -9.738E-07
562 -5.95 -1.00827E-06
563 -5.8 -9.089E-07
564 -5.65 -8.7954E-07
565 -5.5 -9.511E-07
566 -5.35 -8.6007E-07
567 -5.2 -8.3795E-07
568 -5.05 -9.0663E-07
569 -4.9 -8.166E-07
570 -4.75 -7.9522E-07
571 -4.6 -8.6345E-07
572 -4.45 -7.7581E-07
573 -4.3 -7.5354E-07
574 -4.15 -8.2398E-07
575 -4 -7.3662E-07
576 -3.85 -7.0254E-07
577 -3.7 -7.9276E-07
578 -3.55 -7.0366E-07
579 -3.4 -6.4549E-07
580 -3.25 -7.6181E-07
581 -3.1 -6.7685E-07
582 -2.95 -6.2475E-07
583 -2.8 -6.9929E-07
584 -2.65 -6.4483E-07
585 -2.5 -5.7243E-07
586 -2.35 -6.5911E-07
587 -2.2 -6.1047E-07
588 -2.05 -5.3256E-07
589 -1.9 -6.1393E-07
590 -1.75 -5.9338E-07
591 -1.6 -5.0405E-07
592 -1.45 -5.641E-07
593 -1.3 -5.8349E-07
594 -1.15 -4.482E-07
595 -1 -5.0604E-07
596 -0.85 -5.3131E-07
597 -0.7 -4.4086E-07
598 -0.55 -4.66E-07
599 -0.4 -5.2185E-07
600 -0.25 -4.1699E-07
601 -0.1 -4.0945E-07
602 0.05 -4.8888E-07
603 0.2 -3.8912E-07
604 0.35 -3.7599E-07
605 0.5 -4.6706E-07
606 0.65 -3.9051E-07
607 0.8 -3.4439E-07
608 0.95 -4.174E-07
609 1.1 -3.7207E-07
610 1.25 -3.2276E-07
611 1.4 -2.7527E-07
612 1.55 -2.9867E-07
613 1.7 -3.1887E-07
614 1.85 -3.5646E-07
615 2 -3.3492E-07
616 2.15 -2.8256E-07
617 2.3 -2.4082E-07
618 2.45 -2.2586E-07
619 2.6 -2.5258E-07
620 2.75 -2.9038E-07
621 2.9 -3.2484E-07
622 3.05 -2.9477E-07
623 3.2 -2.545E-07
624 3.35 -2.0559E-07
625 3.5 -1.6193E-07
626 3.65 -1.8491E-07
627 3.8 -2.0983E-07
628 3.95 -2.4517E-07
629 4.1 -2.6081E-07
630 4.25 -2.4308E-07
631 4.4 -1.9641E-07
632 4.55 -1.2354E-07
633 4.7 -1.7217E-07
634 4.85 -2.0758E-07
635 5 -2.1895E-07
636 5.15 -1.6833E-07
637 5.3 -9.131E-08
638 5.45 -1.4334E-07
639 5.6 -2.165E-07
640 5.75 -1.5422E-07
641 5.9 -1.469E-07
642 6.05 -1.9859E-07
643 6.2 -1.3662E-07
644 6.35 -1.6758E-07
645 6.5 -1.5522E-07
646 6.65 -1.07726E-07
647 6.8 -1.5969E-07
648 6.95 -1.3774E-07
649 7.1 -9.8628E-08
650 7.25 -1.4424E-07
651 7.4 -1.3213E-07
652 7.55 -8.787E-08
653 7.7 -1.04213E-07
654 7.85 -1.14182E-07
655 8 -1.02134E-07
656 8.15 -9.4716E-08
657 8.3 -6.8154E-08
658 8.45 -5.9341E-08
659 8.6 -6.5515E-08
660 8.75 -5.7031E-08
661 8.9 -4.8487E-08
662 9.05 -3.7597E-08
663 9.2 -2.6035E-08
664 9.35 -2.0349E-08
665 9.5 -1.2003E-07
666 9.65 -7.929E-08
667 9.8 -5.5879E-08
668 9.95 -5.8628E-08
669 -40 -7.4965E-06
670 -39.85 -7.5838E-06
671 -39.7 -7.5243E-06
672 -39.55 -7.4432E-06
673 -39.4 -7.477E-06
674 -39.25 -7.487E-06
675 -39.1 -7.3673E-06
676 -38.95 -7.3107E-06
677 -38.8 -7.357E-06
678 -38.65 -7.3047E-06
679 -38.5 -7.1711E-06
680 -38.35 -7.1724E-06
681 -38.2 -7.1934E-06
682 -38.05 -7.0918E-06
683 -37.9 -6.9861E-06
684 -37.75 -7.0154E-06
685 -37.6 -6.9949E-06
686 -37.45 -6.8653E-06
687 -37.3 -6.8099E-06
688 -37.15 -6.8565E-06
689 -37 -6.7873E-06
690 -36.85 -6.6579E-06
691 -36.7 -6.667E-06
692 -36.55 -6.6803E-06
693 -36.4 -6.5762E-06
694 -36.25 -6.4835E-06
695 -36.1 -6.5225E-06
696 -35.95 -6.4938E-06
697 -35.8 -6.3611E-06
698 -35.65 -6.321E-06
699 -35.5 -6.3686E-06
700 -35.35 -6.2847E-06
701 -35.2 -6.1689E-06
702 -35.05 -6.1799E-06
703 -34.9 -6.1942E-06
704 -34.75 -6.0789E-06
705 -34.6 -6.0053E-06
706 -34.45 -6.0437E-06
707 -34.3 -6.0122E-06
708 -34.15 -5.8751E-06
709 -34 -5.8507E-06
710 -33.85 -5.8933E-06
711 -33.7 -5.7966E-06
712 -33.55 -5.6931E-06
713 -33.4 -5.7066E-06
714 -33.25 -5.7145E-06
715 -33.1 -5.5906E-06
716 -32.95 -5.5287E-06
717 -32.8 -5.574E-06
718 -32.65 -5.5317E-06
719 -32.5 -5.3962E-06
720 -32.35 -5.3898E-06
721 -32.2 -5.4227E-06
722 -32.05 -5.3254E-06
723 -31.9 -5.2254E-06
724 -31.75 -5.2525E-06
725 -31.6 -5.2435E-06
726 -31.45 -5.1209E-06
727 -31.3 -5.0673E-06
728 -31.15 -5.1173E-06
729 -31 -5.0604E-06
730 -30.85 -4.9337E-06
731 -30.7 -4.9438E-06
732 -30.55 -4.9651E-06
733 -30.4 -4.8694E-06
734 -30.25 -4.7753E-06
735 -30.1 -4.816E-06
736 -29.95 -4.7972E-06
737 -29.8 -4.6712E-06
738 -29.65 -4.6288E-06
739 -29.5 -4.6822E-06
740 -29.35 -4.6116E-06
741 -29.2 -4.4949E-06
742 -29.05 -4.5123E-06
743 -28.9 -4.5317E-06
744 -28.75 -4.4274E-06
745 -28.6 -4.3525E-06
746 -28.45 -4.3966E-06
747 -28.3 -4.3712E-06
748 -28.15 -4.2441E-06
749 -28 -4.2181E-06
750 -27.85 -4.2695E-06
751 -27.7 -4.1845E-06
752 -27.55 -4.083E-06
753 -27.4 -4.1008E-06
754 -27.25 -4.1206E-06
755 -27.1 -4.0049E-06
756 -26.95 -3.9455E-06
757 -26.8 -3.9943E-06
758 -26.65 -3.9645E-06
759 -26.5 -3.8363E-06
760 -26.35 -3.8273E-06
761 -26.2 -3.8732E-06
762 -26.05 -3.7816E-06
763 -25.9 -3.6881E-06
764 -25.75 -3.7157E-06
765 -25.6 -3.7212E-06
766 -25.45 -3.6052E-06
767 -25.3 -3.5573E-06
768 -25.15 -3.6118E-06
769 -25 -3.5687E-06
770 -24.85 -3.4458E-06
771 -24.7 -3.4573E-06
772 -24.55 -3.4909E-06
773 -24.4 -3.4031E-06
774 -24.25 -3.3121E-06
775 -24.1 -3.3564E-06
776 -23.95 -3.3491E-06
777 -23.8 -3.233E-06
778 -23.65 -3.1926E-06
779 -23.5 -3.2534E-06
780 -23.35 -3.1976E-06
781 -23.2 -3.0827E-06
782 -23.05 -3.1067E-06
783 -22.9 -3.1349E-06
784 -22.75 -3.0432E-06
785 -22.6 -2.9678E-06
786 -22.45 -3.0196E-06
787 -22.3 -3.0042E-06
788 -22.15 -2.8859E-06
789 -22 -2.8617E-06
790 -21.85 -2.9229E-06
791 -21.7 -2.8523E-06
792 -21.55 -2.7526E-06
793 -21.4 -2.7789E-06
794 -21.25 -2.8085E-06
795 -21.1 -2.7062E-06
796 -20.95 -2.6491E-06
797 -20.8 -2.7044E-06
798 -20.65 -2.6863E-06
799 -20.5 -2.5658E-06
800 -20.35 -2.5583E-06
801 -20.2 -2.6169E-06
802 -20.05 -2.5348E-06
803 -19.9 -2.4481E-06
804 -19.75 -2.4794E-06
805 -19.6 -2.5024E-06
806 -19.45 -2.3936E-06
807 -19.3 -2.3505E-06
808 -19.15 -2.4112E-06
809 -19 -2.3832E-06
810 -18.85 -2.2652E-06
811 -18.7 -2.2773E-06
812 -18.55 -2.3261E-06
813 -18.4 -2.2455E-06
814 -18.25 -2.1626E-06
815 -18.1 -2.2084E-06
816 -17.95 -2.2147E-06
817 -17.8 -2.1086E-06
818 -17.65 -2.0727E-06
819 -17.5 -2.14E-06
820 -17.35 -2.0995E-06
